Date,Product_ID,Category,Region,Units_Sold,Sales
2020-05-30,1069,Groceries,South,1,474.20100821372165
2020-05-31,1007,Books,West,72,12007.795863764004
2020-06-01,1085,Groceries,South,65,6488.838894865
2020-06-02,1064,Books,North,66,12483.2725385962
2020-06-03,1012,Electronics,West,37,12508.319778824482
2020-06-04,1054,Groceries,North,24,8440.985238650832
2020-06-05,1087,Books,West,91,42113.71569190271
2020-06-06,1084,Electronics,West,84,37133.01459748831
2020-06-07,1042,Clothing,North,62,9379.17741027683
2020-06-08,1003,Electronics,East,21,4893.629831876567
2020-06-09,1070,Electronics,East,37,13917.98675576566
2020-06-10,1059,Groceries,South,35,16068.61436232473
2020-06-11,1011,Clothing,South,38,6658.012539395325
2020-06-12,1058,Clothing,North,53,12072.144045576584
2020-06-13,1076,Groceries,North,15,6761.165287834026
2020-06-14,1053,Electronics,North,42,7797.598109600339
2020-06-15,1043,Books,East,94,23072.42814399135
2020-06-16,1015,Groceries,East,4,1812.8281167874345
2020-06-17,1005,Electronics,West,39,15720.867895786
2020-06-18,1013,Books,West,79,10213.211107129466
2020-06-19,1057,Groceries,North,23,3890.4403871924887
2020-06-20,1030,Groceries,North,15,2744.2466468261423
2020-06-21,1099,Clothing,South,90,41151.76667830974
2020-06-22,1040,Clothing,East,12,5993.730374174691
2020-06-23,1034,Clothing,North,82,31919.492860605576
2020-06-24,1009,Books,East,70,17312.39217552728
2020-06-25,1080,Groceries,North,82,1228.784009951305
2020-06-26,1029,Clothing,West,54,18995.533977581956
2020-06-27,1043,Clothing,North,88,17669.253413144474
2020-06-28,1054,Groceries,West,38,12166.208075656634
2020-06-29,1070,Books,South,28,8603.841178704522
2020-06-30,1017,Clothing,South,79,19403.008909994533
2020-07-01,1082,Electronics,South,19,8982.246672832067
2020-07-02,1078,Books,North,69,1472.5779364641014
2020-07-03,1085,Clothing,South,64,22972.47471306037
2020-07-04,1038,Electronics,North,4,843.2861418671101
2020-07-05,1041,Clothing,East,81,29140.34298001205
2020-07-06,1053,Books,West,10,3408.5762729441967
2020-07-07,1029,Groceries,East,12,180.19945514685287
2020-07-08,1019,Groceries,North,69,10337.294521855634
2020-07-09,1095,Books,South,7,718.5839153279668
2020-07-10,1041,Clothing,West,44,4040.225769440134
2020-07-11,1088,Books,South,23,8439.932230045166
2020-07-12,1086,Electronics,East,2,254.7603221112621
2020-07-13,1004,Clothing,North,94,22806.414546315074
2020-07-14,1049,Books,West,37,4847.9104845293705
2020-07-15,1040,Groceries,West,69,20307.705570348506
2020-07-16,1093,Books,North,20,7261.622926987686
2020-07-17,1038,Clothing,North,90,15500.395976589585
2020-07-18,1056,Books,West,44,13441.12948907035
2020-07-19,1090,Groceries,East,70,28992.51876239125
2020-07-20,1056,Electronics,East,93,5223.8006749458855
2020-07-21,1036,Books,South,74,26508.915921236494
2020-07-22,1006,Books,West,51,8585.392161440152
2020-07-23,1004,Electronics,North,80,5607.878295777815
2020-07-24,1078,Books,North,98,27182.31504964103
2020-07-25,1050,Groceries,North,31,3746.9246296768456
2020-07-26,1007,Electronics,North,41,16911.158414723377
2020-07-27,1055,Groceries,West,58,1799.1017488731839
2020-07-28,1072,Groceries,East,5,291.6995958636988
2020-07-29,1010,Groceries,South,33,8754.507357190661
2020-07-30,1021,Clothing,East,43,12839.003390501479
2020-07-31,1097,Electronics,South,19,6985.244846706773
2020-08-01,1098,Clothing,North,32,4385.208218994399
2020-08-02,1076,Clothing,North,87,36754.24620213263
2020-08-03,1010,Books,West,3,1431.1192394674613
2020-08-04,1059,Electronics,North,1,254.52925876148316
2020-08-05,1095,Books,West,41,15689.075122243306
2020-08-06,1014,Clothing,West,92,24580.16382283418
2020-08-07,1037,Books,West,48,2113.8645317751934
2020-08-08,1000,Groceries,North,39,6621.991010422489
2020-08-09,1045,Clothing,North,5,264.34238958618675
2020-08-10,1087,Groceries,East,77,38080.40916949166
2020-08-11,1042,Electronics,South,11,1344.449666075503
2020-08-12,1021,Books,East,22,7075.006521301448
2020-08-13,1002,Clothing,North,87,12991.631695912678
2020-08-14,1013,Electronics,South,64,21125.801313561835
2020-08-15,1001,Groceries,West,12,1357.1619423184368
2020-08-16,1060,Books,South,53,20923.463611684634
2020-08-17,1031,Books,West,55,3536.3726964473267
2020-08-18,1037,Clothing,North,53,23777.055890344578
2020-08-19,1096,Books,South,21,8857.939216244775
2020-08-20,1045,Books,West,19,6509.69636927337
2020-08-21,1041,Groceries,East,69,2969.2885436996858
2020-08-22,1005,Groceries,East,88,9873.496501543388
2020-08-23,1040,Groceries,West,94,40522.19509753096
2020-08-24,1024,Electronics,East,72,5023.258042195556
2020-08-25,1097,Electronics,East,66,5702.84399460137
2020-08-26,1010,Books,South,59,16317.136089772106
2020-08-27,1040,Electronics,East,49,7073.000326580992
2020-08-28,1070,Clothing,South,98,11644.075111307495
2020-08-29,1056,Groceries,North,59,17236.7663147309
2020-08-30,1045,Electronics,East,23,4428.939143681987
2020-08-31,1085,Books,North,3,236.62304825141302
2020-09-01,1047,Groceries,East,56,15236.387381447545
2020-09-02,1062,Electronics,West,58,11578.892501178458
2020-09-03,1038,Groceries,West,88,32552.363306684936
2020-09-04,1009,Electronics,North,62,3741.7103376994996
2020-09-05,1084,Books,North,18,5653.80881160349
2020-09-06,1069,Electronics,North,61,13656.785542333675
2020-09-07,1064,Electronics,West,37,7731.901794700087
2020-09-08,1097,Electronics,North,54,6686.332224700708
2020-09-09,1058,Groceries,West,95,2366.3316128362026
2020-09-10,1077,Electronics,North,78,33178.68100861675
2020-09-11,1035,Electronics,South,65,11046.161240196465
2020-09-12,1026,Electronics,South,14,4812.2845325467515
2020-09-13,1072,Groceries,East,5,2371.589129452933
2020-09-14,1054,Books,South,95,27250.29837572323
2020-09-15,1069,Books,North,95,19437.188312299775
2020-09-16,1094,Books,South,94,13296.680466021293
2020-09-17,1080,Electronics,South,62,28996.250420630848
2020-09-18,1052,Groceries,North,1,344.21764084506
2020-09-19,1059,Books,South,63,21167.236609829994
2020-09-20,1060,Books,North,67,14660.777814519442
2020-09-21,1035,Books,South,20,8481.47738610082
2020-09-22,1084,Clothing,North,43,15467.072980289893
2020-09-23,1026,Groceries,West,85,12644.583269679322
2020-09-24,1040,Clothing,West,94,28556.593080753715
2020-09-25,1027,Electronics,East,42,9273.391585694046
2020-09-26,1015,Books,South,94,1243.5428999365822
2020-09-27,1034,Electronics,East,69,27995.74821907577
2020-09-28,1035,Groceries,North,74,5193.828451828351
2020-09-29,1055,Electronics,West,88,22869.238298832723
2020-09-30,1098,Electronics,North,39,6815.282549850826
2020-10-01,1018,Books,East,62,11012.665071676583
2020-10-02,1056,Groceries,North,48,11707.622057892764
2020-10-03,1084,Electronics,North,6,2991.24792581805
2020-10-04,1032,Clothing,North,74,15547.847219697313
2020-10-05,1022,Books,North,42,4172.33554962506
2020-10-06,1062,Clothing,West,58,18018.692127363065
2020-10-07,1069,Books,North,43,5408.582008392713
2020-10-08,1095,Electronics,North,10,617.1907698934571
2020-10-09,1021,Books,West,89,3078.0956437951686
2020-10-10,1066,Electronics,North,78,1654.5222930323177
2020-10-11,1098,Clothing,North,39,8629.556429224427
2020-10-12,1079,Electronics,East,13,2848.2432177935175
2020-10-13,1058,Books,West,75,7568.793452864771
2020-10-14,1024,Books,South,39,15372.604117567811
2020-10-15,1016,Books,North,11,806.7686844881466
2020-10-16,1038,Clothing,East,16,7336.086790292131
2020-10-17,1076,Groceries,West,33,9831.103558491715
2020-10-18,1091,Clothing,North,60,1411.921457484931
2020-10-19,1074,Electronics,South,96,46258.23231493739
2020-10-20,1073,Electronics,North,59,9492.581813470628
2020-10-21,1038,Clothing,East,74,17056.092034292964
2020-10-22,1023,Clothing,West,51,7613.874637933858
2020-10-23,1037,Electronics,East,15,5503.896540548265
2020-10-24,1087,Electronics,West,80,19838.664652205913
2020-10-25,1096,Electronics,South,43,3219.09825461073
2020-10-26,1080,Groceries,North,27,1648.6182897155736
2020-10-27,1056,Groceries,East,56,20464.30134162633
2020-10-28,1043,Clothing,South,60,7570.193304979382
2020-10-29,1035,Clothing,South,96,7441.800342993747
2020-10-30,1098,Groceries,North,70,17830.36657702601
2020-10-31,1069,Books,East,47,18957.684571961083
2020-11-01,1079,Groceries,North,8,1172.8283638226715
2020-11-02,1044,Clothing,North,63,9163.443853203937
2020-11-03,1091,Groceries,West,89,37255.56175995504
2020-11-04,1095,Books,West,7,577.0699153709245
2020-11-05,1025,Clothing,North,81,25287.91811800806
2020-11-06,1010,Electronics,West,94,44927.921026177886
2020-11-07,1051,Clothing,East,2,844.4770865857614
2020-11-08,1024,Groceries,West,17,684.9208973851441
2020-11-09,1030,Groceries,South,4,667.0253180607858
2020-11-10,1084,Books,North,26,2073.8506916499323
2020-11-11,1044,Groceries,North,78,37059.97717240248
2020-11-12,1066,Books,East,72,35504.018456315025
2020-11-13,1075,Clothing,North,69,8635.114024458682
2020-11-14,1039,Groceries,West,5,1690.7626598304437
2020-11-15,1045,Clothing,South,5,2111.99774351544
2020-11-16,1053,Electronics,North,91,11329.80388204151
2020-11-17,1040,Electronics,West,69,7035.482246392248
2020-11-18,1088,Books,South,3,46.48020417350203
2020-11-19,1080,Groceries,North,38,8050.740948251212
2020-11-20,1037,Clothing,North,94,42368.08951790064
2020-11-21,1099,Clothing,North,1,452.4600280376109
2020-11-22,1035,Groceries,South,8,580.7530598353438
2020-11-23,1082,Clothing,North,13,1431.7253009658757
2020-11-24,1043,Groceries,North,84,17635.2281412654
2020-11-25,1056,Groceries,West,70,27475.42189911498
2020-11-26,1065,Electronics,West,50,15490.36134652735
2020-11-27,1080,Groceries,West,8,2094.2909945992483
2020-11-28,1029,Clothing,West,30,9001.398698072266
2020-11-29,1009,Groceries,North,40,2285.5139985250144
2020-11-30,1098,Electronics,South,79,19280.35959168745
2020-12-01,1060,Electronics,North,74,36712.21487868879
2020-12-02,1062,Books,East,33,1760.17419600505
2020-12-03,1035,Clothing,South,73,19303.453658999886
2020-12-04,1053,Groceries,East,52,8053.143187029906
2020-12-05,1096,Clothing,North,33,9060.398010257877
2020-12-06,1064,Clothing,South,73,21255.49704640712
2020-12-07,1081,Groceries,South,78,22851.01416612637
2020-12-08,1003,Electronics,West,96,41047.901261024104
2020-12-09,1054,Clothing,North,37,7436.120628033472
2020-12-10,1053,Books,East,70,18410.94777946081
2020-12-11,1090,Clothing,South,69,1059.4891690995787
2020-12-12,1088,Electronics,South,4,1587.519179096343
2020-12-13,1063,Books,West,60,8228.938596850076
2020-12-14,1091,Books,South,80,32808.95694238824
2020-12-15,1021,Books,West,74,10372.058042950302
2020-12-16,1024,Books,South,31,473.877258227257
2020-12-17,1080,Groceries,South,95,8157.397861904947
2020-12-18,1058,Groceries,North,14,6901.784711645072
2020-12-19,1056,Groceries,South,77,12836.101009617609
2020-12-20,1053,Books,West,60,3799.422719174767
2020-12-21,1043,Electronics,West,68,4637.0433368100075
2020-12-22,1051,Clothing,West,26,4213.766177089031
2020-12-23,1075,Books,East,24,682.7056835331333
2020-12-24,1015,Electronics,South,56,14595.24685806641
2020-12-25,1015,Clothing,North,9,1032.5974373079018
2020-12-26,1080,Books,North,35,9256.177499956359
2020-12-27,1054,Clothing,East,79,6238.982905846813
2020-12-28,1060,Groceries,South,24,5295.12101324571
2020-12-29,1094,Groceries,West,31,9392.357079114905
2020-12-30,1078,Groceries,East,83,3351.537492210853
2020-12-31,1076,Electronics,East,66,13555.552661179234
2021-01-01,1039,Groceries,West,66,10443.620370806504
2021-01-02,1090,Electronics,East,41,5238.8287132566575
2021-01-03,1020,Groceries,East,36,11023.990804130519
2021-01-04,1065,Groceries,West,34,10145.109482851685
2021-01-05,1007,Groceries,South,39,12442.673305610724
2021-01-06,1070,Electronics,North,83,7291.758206490644
2021-01-07,1009,Clothing,North,23,3449.9431895984335
2021-01-08,1056,Electronics,West,80,9019.408097407086
2021-01-09,1003,Books,West,44,12093.25772375347
2021-01-10,1042,Books,South,70,16514.55313988984
2021-01-11,1099,Electronics,East,58,9966.948022385955
2021-01-12,1098,Electronics,South,59,23313.6881243864
2021-01-13,1062,Clothing,East,26,1457.2255037627967
2021-01-14,1042,Electronics,East,22,10729.386304785823
2021-01-15,1066,Groceries,South,88,5905.380635396544
2021-01-16,1081,Clothing,West,40,15552.18792634004
2021-01-17,1050,Electronics,West,85,16186.787378548646
2021-01-18,1055,Electronics,South,94,40793.97827381097
2021-01-19,1042,Books,East,11,509.7760239466335
2021-01-20,1023,Clothing,East,9,1742.5227419482096
2021-01-21,1095,Books,East,12,2092.4072302213895
2021-01-22,1033,Electronics,East,26,12912.82066699332
2021-01-23,1058,Clothing,South,38,18730.922284844826
2021-01-24,1001,Groceries,North,3,309.01181923959035
2021-01-25,1001,Electronics,West,97,30911.379041992048
2021-01-26,1009,Electronics,West,15,4086.0677363454106
2021-01-27,1022,Books,North,47,4025.221503274213
2021-01-28,1014,Groceries,East,5,461.06027995583645
2021-01-29,1075,Electronics,North,54,26715.600735569016
2021-01-30,1016,Books,North,24,5564.104724982168
2021-01-31,1081,Books,North,11,788.0689638803963
2021-02-01,1013,Electronics,West,33,3803.1549264137416
2021-02-02,1080,Clothing,West,87,12309.678106805673
2021-02-03,1078,Electronics,North,74,19265.859967933135
2021-02-04,1075,Groceries,North,57,9941.859257111219
2021-02-05,1015,Electronics,North,52,12113.700304475185
2021-02-06,1031,Clothing,East,64,5861.425922538735
2021-02-07,1022,Books,East,43,7314.1735106787555
2021-02-08,1033,Groceries,East,92,4089.8719997163516
2021-02-09,1097,Groceries,West,81,36122.60075425644
2021-02-10,1015,Groceries,South,44,4725.103407754547
2021-02-11,1033,Groceries,North,90,34279.29597240738
2021-02-12,1070,Clothing,North,89,16133.953483547917
2021-02-13,1032,Clothing,South,36,8728.368706097954
2021-02-14,1067,Clothing,North,12,1832.6149120320138
2021-02-15,1042,Clothing,East,56,19670.34847918623
2021-02-16,1063,Books,East,3,1271.48323633382
2021-02-17,1070,Electronics,South,50,7513.619526119908
2021-02-18,1017,Clothing,East,29,3731.9127164596484
2021-02-19,1067,Electronics,South,88,30263.704246803238
2021-02-20,1060,Groceries,East,83,8766.874973289207
2021-02-21,1074,Books,North,77,24911.154356456707
2021-02-22,1019,Books,West,16,900.3161447981026
2021-02-23,1010,Electronics,East,40,12554.688335229468
2021-02-24,1078,Electronics,South,27,7062.37109095803
2021-02-25,1045,Electronics,West,70,4606.966044267377
2021-02-26,1063,Books,North,42,13778.552805513462
2021-02-27,1080,Clothing,West,57,13042.341395961737
2021-02-28,1097,Books,South,10,1163.86374900372
2021-03-01,1075,Clothing,North,38,6960.012979174541
2021-03-02,1027,Groceries,North,8,2009.0402541046042
2021-03-03,1047,Clothing,East,18,987.5082844718493
2021-03-04,1034,Electronics,West,96,46005.950086357785
2021-03-05,1007,Clothing,East,17,5714.1327612469695
2021-03-06,1090,Clothing,North,58,3494.0441681963202
2021-03-07,1021,Books,East,66,27271.36304118238
2021-03-08,1023,Electronics,East,44,7394.284311198895
2021-03-09,1065,Groceries,South,84,25404.26893111465
2021-03-10,1094,Clothing,East,74,10789.199435675328
2021-03-11,1085,Groceries,North,9,3324.3202170734176
2021-03-12,1063,Electronics,East,48,17485.171092002405
2021-03-13,1064,Clothing,North,39,10939.550460831906
2021-03-14,1013,Books,North,89,11396.765087685522
2021-03-15,1024,Groceries,South,89,11954.023045604667
2021-03-16,1099,Books,North,88,17389.04379348594
2021-03-17,1099,Groceries,North,6,486.33577214507886
2021-03-18,1002,Electronics,South,30,5263.5389839065765
2021-03-19,1004,Clothing,North,74,25554.69784126381
2021-03-20,1064,Groceries,South,95,39625.847786766055
2021-03-21,1053,Books,West,18,3113.3758021514477
2021-03-22,1018,Groceries,West,43,5351.746741419449
2021-03-23,1096,Groceries,West,33,13793.830491679122
2021-03-24,1053,Groceries,North,53,23661.583591212377
2021-03-25,1093,Groceries,East,56,11810.990599683046
2021-03-26,1075,Groceries,South,19,440.47767234009115
2021-03-27,1009,Groceries,West,87,30496.2138987177
2021-03-28,1097,Books,South,69,27198.163715351606
2021-03-29,1015,Groceries,West,26,489.62898531496853
2021-03-30,1045,Groceries,West,29,8745.388425982903
2021-03-31,1028,Groceries,North,24,7159.216596951498
2021-04-01,1014,Clothing,South,6,1173.4012517188673
2021-04-02,1047,Electronics,North,54,20378.843442013163
2021-04-03,1010,Electronics,South,39,8572.501418365431
2021-04-04,1033,Electronics,South,4,1366.4808655110735
2021-04-05,1035,Books,East,58,15276.473797731018
2021-04-06,1029,Books,West,48,6323.887502610889
2021-04-07,1098,Books,North,60,18431.125372497874
2021-04-08,1072,Groceries,East,26,9648.214224336021
2021-04-09,1081,Electronics,South,79,38489.888618746416
2021-04-10,1018,Groceries,West,77,15111.51056285506
2021-04-11,1067,Clothing,North,40,1663.6618754604817
2021-04-12,1069,Electronics,East,86,42493.10726226777
2021-04-13,1032,Clothing,South,77,24306.225260125484
2021-04-14,1095,Clothing,East,56,26530.600571931507
2021-04-15,1079,Groceries,South,39,2374.1356136724908
2021-04-16,1074,Electronics,South,81,14385.323104458463
2021-04-17,1021,Clothing,West,39,2949.5303154577614
2021-04-18,1035,Electronics,North,48,20131.19883577004
2021-04-19,1022,Clothing,West,25,11034.198582509123
2021-04-20,1062,Clothing,North,34,8691.852919917841
2021-04-21,1025,Groceries,North,21,2130.1779797422932
2021-04-22,1059,Electronics,South,25,1807.2073707364298
2021-04-23,1094,Groceries,East,89,26539.836840597818
2021-04-24,1092,Groceries,North,22,5678.73677902954
2021-04-25,1004,Groceries,North,23,8060.273183683613
2021-04-26,1053,Groceries,North,25,3988.788967094892
2021-04-27,1037,Groceries,North,78,16158.504769831126
2021-04-28,1061,Clothing,South,78,1596.420242591235
2021-04-29,1024,Electronics,West,26,8033.2223942622395
2021-04-30,1097,Electronics,East,30,6520.209763793224
2021-05-01,1011,Groceries,South,90,41461.62035117305
2021-05-02,1021,Electronics,South,38,12330.060863263468
2021-05-03,1008,Clothing,South,86,17660.985869690096
2021-05-04,1083,Groceries,North,34,4731.395753350017
2021-05-05,1028,Books,East,89,40369.476347119125
2021-05-06,1043,Books,South,77,1383.6812464511345
2021-05-07,1092,Clothing,South,93,15827.401132691513
2021-05-08,1026,Clothing,South,73,34479.19473209801
2021-05-09,1054,Books,North,15,4957.142601314569
2021-05-10,1080,Groceries,North,95,25748.072768237573
2021-05-11,1004,Clothing,South,44,4828.208518364416
2021-05-12,1051,Books,North,91,38070.18118400312
2021-05-13,1012,Groceries,East,95,10455.466363693728
2021-05-14,1041,Clothing,North,10,1316.4423044541245
2021-05-15,1014,Electronics,South,37,3848.261220266735
2021-05-16,1078,Electronics,East,7,612.4526497534603
2021-05-17,1017,Electronics,North,32,15267.939936947629
2021-05-18,1049,Groceries,South,11,3354.950303201652
2021-05-19,1001,Clothing,West,48,15481.929344877408
2021-05-20,1086,Books,West,92,43940.99199279956
2021-05-21,1012,Clothing,East,68,8362.760836783747
2021-05-22,1067,Electronics,East,48,619.1805078177174
2021-05-23,1046,Electronics,East,45,13655.38447302492
2021-05-24,1088,Groceries,North,95,24590.177917584584
2021-05-25,1074,Books,East,93,22696.527698040263
2021-05-26,1049,Groceries,North,33,1330.60301585104
2021-05-27,1011,Books,South,4,930.6923384865776
2021-05-28,1012,Clothing,North,47,7092.496784038795
2021-05-29,1008,Groceries,North,90,13008.302265592209
2021-05-30,1058,Groceries,South,53,6305.24963725104
2021-05-31,1044,Groceries,West,31,5361.1057846719295
2021-06-01,1069,Electronics,North,31,5674.091411428435
2021-06-02,1042,Electronics,North,27,4355.103521269227
2021-06-03,1073,Books,South,89,43573.405932527785
2021-06-04,1022,Clothing,East,48,22417.835131183136
2021-06-05,1078,Groceries,South,36,10494.358155618569
2021-06-06,1044,Electronics,West,49,24045.12667023154
