Date,Product,Category,Region,Salesperson,Sales Amount
2023-06-10,Product D,Appliances,East,Tom,20733
2023-06-11,Product E,Books,South,Nina,21355
2023-06-12,Product E,Clothing,East,Sara,5111
2023-06-13,Product C,Clothing,North,Mike,10891
2023-06-14,Product C,Electronics,North,John,24563
2023-06-15,Product B,Clothing,South,Nina,19443
2023-06-16,Product D,Furniture,West,Sara,22806
2023-06-17,Product B,Furniture,North,John,14605
2023-06-18,Product B,Books,North,John,8067
2023-06-19,Product B,Furniture,West,Nina,23585
2023-06-20,Product C,Clothing,South,Sara,6933
2023-06-21,Product D,Furniture,East,Mike,5295
2023-06-22,Product D,Appliances,North,Sara,16731
2023-06-23,Product C,Clothing,South,Emily,8211
2023-06-24,Product A,Books,West,John,22204
2023-06-25,Product A,Clothing,South,Alice,24142
2023-06-26,Product E,Electronics,North,Alice,6077
2023-06-27,Product B,Books,East,Sara,16579
2023-06-28,Product C,Electronics,South,Alice,20575
2023-06-29,Product B,Books,South,Alice,11834
2023-06-30,Product B,Clothing,West,Sara,20682
2023-07-01,Product D,Books,East,Tom,21931
2023-07-02,Product C,Electronics,South,Sara,15851
2023-07-03,Product C,Books,South,Nina,10556
2023-07-04,Product E,Furniture,South,Tom,12013
2023-07-05,Product B,Clothing,North,Sara,14529
2023-07-06,Product C,Books,East,Sara,23443
2023-07-07,Product A,Furniture,West,Nina,16675
2023-07-08,Product A,Electronics,South,Tom,13588
2023-07-09,Product D,Furniture,North,Nina,9326
2023-07-10,Product C,Electronics,West,Tom,12077
2023-07-11,Product D,Furniture,West,Nina,16030
2023-07-12,Product B,Furniture,East,Mike,15561
2023-07-13,Product C,Books,South,Mike,14043
2023-07-14,Product A,Clothing,South,Nina,14732
2023-07-15,Product E,Electronics,North,Sara,21511
2023-07-16,Product D,Appliances,North,Sara,15789
2023-07-17,Product C,Books,North,Raj,23661
2023-07-18,Product D,Books,North,Raj,7032
2023-07-19,Product D,Appliances,South,Nina,13167
2023-07-20,Product E,Clothing,North,Sara,8919
2023-07-21,Product A,Books,West,Tom,12656
2023-07-22,Product E,Electronics,North,Sara,18763
2023-07-23,Product D,Appliances,West,Emily,16153
2023-07-24,Product B,Appliances,East,Raj,9613
2023-07-25,Product A,Electronics,South,Tom,23215
2023-07-26,Product E,Electronics,West,Mike,24255
2023-07-27,Product B,Electronics,North,Raj,17720
2023-07-28,Product B,Books,North,John,10842
2023-07-29,Product B,Books,North,Sara,12507
2023-07-30,Product D,Appliances,East,Tom,11809
2023-07-31,Product E,Clothing,South,Alice,7290
2023-08-01,Product A,Clothing,North,John,22065
2023-08-02,Product B,Clothing,West,Alice,15089
2023-08-03,Product B,Electronics,East,Emily,10208
2023-08-04,Product C,Appliances,West,John,20392
2023-08-05,Product B,Furniture,West,Sara,6366
2023-08-06,Product E,Clothing,North,Raj,16184
2023-08-07,Product A,Furniture,West,Sara,19555
2023-08-08,Product A,Clothing,North,Raj,21412
2023-08-09,Product C,Books,North,Raj,19782
2023-08-10,Product B,Electronics,East,John,15975
2023-08-11,Product C,Furniture,West,Mike,24548
2023-08-12,Product B,Clothing,North,Alice,7287
2023-08-13,Product D,Furniture,East,Emily,22050
2023-08-14,Product E,Appliances,East,Emily,14177
2023-08-15,Product A,Appliances,South,Nina,16743
2023-08-16,Product A,Furniture,East,Tom,11610
2023-08-17,Product E,Clothing,South,Mike,11052
2023-08-18,Product E,Electronics,East,Raj,7732
2023-08-19,Product B,Books,West,Tom,7151
2023-08-20,Product C,Clothing,South,Tom,22740
2023-08-21,Product B,Books,East,Tom,7366
2023-08-22,Product D,Appliances,East,Mike,21457
2023-08-23,Product C,Appliances,East,John,13227
2023-08-24,Product C,Books,South,Alice,13820
2023-08-25,Product D,Clothing,North,Emily,16458
2023-08-26,Product C,Furniture,East,Sara,11558
2023-08-27,Product A,Books,West,Tom,6615
2023-08-28,Product C,Electronics,West,Alice,14638
2023-08-29,Product D,Furniture,East,Emily,5782
2023-08-30,Product A,Electronics,South,Raj,15777
2023-08-31,Product C,Appliances,East,Tom,23824
2023-09-01,Product E,Furniture,West,Mike,17549
2023-09-02,Product C,Furniture,South,Emily,22599
2023-09-03,Product C,Books,West,Mike,19364
2023-09-04,Product E,Furniture,West,Nina,17139
2023-09-05,Product E,Books,North,Tom,15826
2023-09-06,Product D,Books,East,Mike,11659
2023-09-07,Product E,Books,South,Nina,9055
2023-09-08,Product C,Books,South,Emily,19574
2023-09-09,Product C,Clothing,South,Sara,5422
2023-09-10,Product E,Appliances,West,Nina,5420
2023-09-11,Product E,Electronics,North,John,22256
2023-09-12,Product C,Clothing,East,Emily,19268
2023-09-13,Product B,Clothing,West,Mike,15888
2023-09-14,Product C,Appliances,West,Mike,10085
2023-09-15,Product C,Books,South,Nina,10634
2023-09-16,Product D,Books,East,Tom,15037
2023-09-17,Product D,Electronics,East,Mike,6347
2023-09-18,Product B,Clothing,North,Raj,10072
2023-09-19,Product D,Electronics,North,Mike,10023
2023-09-20,Product D,Furniture,South,Tom,22462
2023-09-21,Product A,Clothing,South,Mike,23641
2023-09-22,Product A,Furniture,South,Nina,8849
2023-09-23,Product E,Appliances,South,Mike,20324
2023-09-24,Product C,Clothing,South,Tom,14711
2023-09-25,Product A,Furniture,West,Raj,23910
2023-09-26,Product E,Furniture,South,Mike,5360
2023-09-27,Product E,Appliances,North,Tom,16100
2023-09-28,Product B,Clothing,South,Sara,24121
2023-09-29,Product B,Clothing,North,Mike,5058
2023-09-30,Product B,Electronics,South,Nina,15700
2023-10-01,Product C,Furniture,South,Alice,6364
2023-10-02,Product A,Books,North,Nina,12170
2023-10-03,Product A,Books,East,Emily,22282
2023-10-04,Product D,Electronics,North,Nina,22474
2023-10-05,Product B,Electronics,East,Sara,17640
2023-10-06,Product B,Books,West,Alice,8274
2023-10-07,Product B,Appliances,North,Raj,9943
2023-10-08,Product B,Electronics,East,Raj,14617
2023-10-09,Product C,Books,East,Mike,21217
2023-10-10,Product B,Furniture,West,Mike,22199
2023-10-11,Product E,Clothing,North,John,22841
2023-10-12,Product E,Electronics,North,Tom,21682
2023-10-13,Product E,Furniture,West,Alice,6416
2023-10-14,Product D,Books,East,Alice,11704
2023-10-15,Product E,Books,South,Sara,12186
2023-10-16,Product B,Books,West,Tom,15475
2023-10-17,Product C,Furniture,West,Alice,19044
2023-10-18,Product D,Books,West,Tom,6537
2023-10-19,Product D,Appliances,South,Mike,16682
2023-10-20,Product D,Furniture,South,Nina,6063
2023-10-21,Product E,Electronics,East,Nina,15628
2023-10-22,Product C,Electronics,East,Emily,12221
2023-10-23,Product E,Clothing,North,Tom,19605
2023-10-24,Product C,Furniture,East,Alice,24438
2023-10-25,Product D,Books,East,Emily,19857
2023-10-26,Product A,Furniture,East,Sara,22506
2023-10-27,Product D,Appliances,West,Sara,19214
2023-10-28,Product B,Furniture,West,Raj,18352
2023-10-29,Product A,Books,East,Sara,18421
2023-10-30,Product D,Furniture,West,Alice,5812
2023-10-31,Product D,Electronics,East,Mike,23349
2023-11-01,Product A,Furniture,West,Raj,23939
2023-11-02,Product A,Appliances,North,Nina,5804
2023-11-03,Product B,Furniture,West,Mike,5747
2023-11-04,Product D,Electronics,South,Emily,15869
2023-11-05,Product E,Appliances,West,Tom,19937
2023-11-06,Product A,Electronics,East,Nina,15286
2023-11-07,Product D,Electronics,South,Emily,9835
2023-11-08,Product C,Furniture,South,Raj,7544
2023-11-09,Product D,Clothing,East,Nina,17167
2023-11-10,Product C,Electronics,West,Mike,15821
2023-11-11,Product C,Books,West,Nina,7049
2023-11-12,Product A,Books,West,Emily,13831
2023-11-13,Product A,Clothing,South,Mike,11518
2023-11-14,Product E,Clothing,West,Alice,13948
2023-11-15,Product E,Books,East,Alice,16424
2023-11-16,Product B,Furniture,East,Sara,24065
2023-11-17,Product C,Appliances,South,John,18877
2023-11-18,Product A,Books,North,Mike,16005
2023-11-19,Product B,Electronics,East,Tom,20550
2023-11-20,Product A,Furniture,South,John,24187
2023-11-21,Product D,Clothing,South,Raj,11638
2023-11-22,Product A,Books,West,Nina,8599
2023-11-23,Product A,Appliances,South,Tom,12730
2023-11-24,Product A,Furniture,North,Mike,20880
2023-11-25,Product E,Furniture,East,John,7525
2023-11-26,Product D,Appliances,West,Mike,13422
2023-11-27,Product A,Clothing,East,Mike,12304
2023-11-28,Product E,Clothing,West,Mike,24386
2023-11-29,Product D,Furniture,East,Mike,12334
2023-11-30,Product D,Electronics,North,Emily,11780
2023-12-01,Product D,Books,South,Mike,15558
2023-12-02,Product B,Books,East,Sara,8113
2023-12-03,Product D,Electronics,South,Mike,14184
2023-12-04,Product D,Electronics,West,John,16223
2023-12-05,Product D,Books,East,Emily,18532
2023-12-06,Product D,Books,West,Alice,24095
2023-12-07,Product D,Clothing,North,Mike,6036
2023-12-08,Product C,Appliances,West,Alice,20871
2023-12-09,Product B,Electronics,East,Raj,21763
2023-12-10,Product C,Electronics,West,Mike,15638
2023-12-11,Product B,Appliances,West,Tom,20814
2023-12-12,Product D,Appliances,West,Raj,8145
2023-12-13,Product E,Clothing,North,Tom,12003
2023-12-14,Product B,Books,North,Mike,16606
2023-12-15,Product B,Appliances,West,Emily,11065
2023-12-16,Product A,Furniture,North,Alice,15866
2023-12-17,Product D,Furniture,South,Tom,14541
2023-12-18,Product B,Appliances,North,Emily,14447
2023-12-19,Product A,Appliances,East,John,7953
2023-12-20,Product C,Clothing,West,Emily,15842
2023-12-21,Product D,Appliances,East,Sara,24475
2023-12-22,Product D,Appliances,East,Sara,20736
2023-12-23,Product A,Furniture,South,Nina,23594
2023-12-24,Product D,Clothing,South,Mike,14595
2023-12-25,Product D,Electronics,West,Raj,21792
2023-12-26,Product C,Books,North,Raj,9183
2023-12-27,Product B,Electronics,South,Emily,8063
2023-12-28,Product D,Books,East,Mike,18395
2023-12-29,Product A,Appliances,South,Sara,5243
2023-12-30,Product C,Clothing,South,Mike,7706
2023-12-31,Product D,Appliances,North,Tom,22672
2024-01-01,Product C,Electronics,East,Mike,14588
2024-01-02,Product D,Appliances,South,Alice,17938
2024-01-03,Product C,Appliances,East,Sara,16760
2024-01-04,Product C,Books,East,Sara,5069
2024-01-05,Product C,Books,South,Alice,9231
2024-01-06,Product D,Electronics,East,Nina,22412
2024-01-07,Product B,Electronics,North,Sara,11450
2024-01-08,Product E,Appliances,West,Raj,12459
2024-01-09,Product C,Clothing,East,Sara,8171
2024-01-10,Product E,Clothing,North,Alice,17230
2024-01-11,Product A,Books,East,Emily,22589
2024-01-12,Product B,Clothing,West,Mike,15495
2024-01-13,Product A,Books,East,Emily,18419
2024-01-14,Product E,Appliances,South,Emily,10869
2024-01-15,Product E,Books,North,Emily,12154
2024-01-16,Product D,Electronics,South,Sara,5289
2024-01-17,Product D,Clothing,South,John,23299
2024-01-18,Product A,Furniture,North,Alice,10235
2024-01-19,Product D,Books,South,Mike,8754
2024-01-20,Product B,Appliances,South,Raj,8276
2024-01-21,Product C,Clothing,East,Alice,16348
2024-01-22,Product A,Clothing,West,Tom,19927
2024-01-23,Product B,Furniture,South,Emily,23245
2024-01-24,Product A,Clothing,South,Alice,9871
2024-01-25,Product E,Furniture,South,Nina,17069
2024-01-26,Product A,Furniture,West,Mike,22461
2024-01-27,Product A,Clothing,East,Sara,16405
2024-01-28,Product E,Electronics,West,John,22838
2024-01-29,Product C,Clothing,East,Mike,6471
2024-01-30,Product D,Clothing,South,Mike,9828
2024-01-31,Product C,Books,North,Raj,16270
2024-02-01,Product E,Appliances,North,Raj,7687
2024-02-02,Product C,Appliances,South,John,12501
2024-02-03,Product B,Electronics,North,Alice,22335
2024-02-04,Product B,Electronics,South,Mike,21448
2024-02-05,Product A,Furniture,East,Tom,12919
2024-02-06,Product A,Furniture,South,John,14136
2024-02-07,Product B,Books,East,Nina,6959
2024-02-08,Product C,Clothing,South,Emily,6017
2024-02-09,Product E,Electronics,East,Alice,11577
2024-02-10,Product D,Furniture,South,Alice,21866
2024-02-11,Product B,Furniture,South,Tom,6621
2024-02-12,Product B,Appliances,East,Emily,24579
2024-02-13,Product D,Books,North,Alice,24246
2024-02-14,Product B,Books,North,John,7180
2024-02-15,Product D,Electronics,East,Mike,12417
2024-02-16,Product D,Furniture,West,Mike,20190
2024-02-17,Product E,Books,West,Mike,19275
2024-02-18,Product E,Appliances,North,Sara,10830
2024-02-19,Product B,Books,East,Tom,10708
2024-02-20,Product B,Electronics,South,Nina,14903
2024-02-21,Product B,Clothing,West,Mike,17947
2024-02-22,Product E,Clothing,West,Mike,11013
2024-02-23,Product D,Appliances,South,John,12391
2024-02-24,Product E,Furniture,East,Tom,19062
2024-02-25,Product E,Appliances,North,Tom,17264
2024-02-26,Product C,Appliances,West,John,14020
2024-02-27,Product C,Books,South,Tom,12802
2024-02-28,Product D,Appliances,South,Raj,8279
2024-02-29,Product B,Furniture,West,Raj,16192
2024-03-01,Product B,Books,North,Emily,13458
2024-03-02,Product A,Books,South,John,13229
2024-03-03,Product C,Electronics,South,Raj,23451
2024-03-04,Product A,Books,East,Emily,9724
2024-03-05,Product B,Furniture,South,Sara,24224
2024-03-06,Product B,Books,South,Alice,24858
2024-03-07,Product D,Books,North,Alice,21028
2024-03-08,Product E,Furniture,East,Emily,15178
2024-03-09,Product B,Electronics,East,Emily,14629
2024-03-10,Product A,Electronics,North,Nina,6889
2024-03-11,Product B,Electronics,South,Emily,6684
2024-03-12,Product C,Furniture,North,Nina,10080
2024-03-13,Product A,Clothing,North,Nina,23509
2024-03-14,Product D,Electronics,South,Emily,17736
2024-03-15,Product D,Books,South,Emily,5954
2024-03-16,Product B,Electronics,North,Tom,20925
2024-03-17,Product A,Furniture,South,John,13301
2024-03-18,Product E,Books,South,Tom,17242
2024-03-19,Product A,Electronics,West,Alice,21531
2024-03-20,Product A,Electronics,East,Emily,22055
2024-03-21,Product A,Electronics,North,Raj,10305
2024-03-22,Product A,Electronics,North,Emily,15832
2024-03-23,Product D,Books,North,Raj,16476
2024-03-24,Product D,Books,East,Alice,12927
2024-03-25,Product B,Clothing,South,Alice,11444
2024-03-26,Product E,Clothing,South,John,9212
2024-03-27,Product A,Books,East,John,23554
2024-03-28,Product C,Appliances,East,Alice,23419
2024-03-29,Product C,Books,South,Emily,17998
2024-03-30,Product E,Appliances,South,Raj,13072
2024-03-31,Product A,Electronics,West,Mike,12618
2024-04-01,Product C,Furniture,West,John,13141
2024-04-02,Product A,Clothing,North,John,13551
2024-04-03,Product D,Appliances,South,Nina,18336
2024-04-04,Product E,Furniture,South,Tom,15919
2024-04-05,Product A,Books,North,Raj,5845
2024-04-06,Product D,Books,East,Sara,24885
2024-04-07,Product D,Books,North,Alice,5208
2024-04-08,Product B,Clothing,South,John,11944
2024-04-09,Product B,Furniture,West,Raj,7509
2024-04-10,Product E,Electronics,West,Raj,19650
2024-04-11,Product A,Clothing,West,Emily,22080
2024-04-12,Product C,Books,West,Alice,19011
2024-04-13,Product E,Clothing,West,Tom,23531
2024-04-14,Product E,Books,East,Mike,14927
2024-04-15,Product B,Furniture,West,Emily,17364
2024-04-16,Product B,Appliances,East,Nina,10190
2024-04-17,Product B,Clothing,North,Emily,14182
2024-04-18,Product D,Books,South,Tom,21160
2024-04-19,Product D,Electronics,North,Nina,16188
2024-04-20,Product B,Furniture,West,Raj,22282
2024-04-21,Product A,Electronics,East,Tom,18515
2024-04-22,Product C,Books,North,Alice,20291
2024-04-23,Product D,Electronics,West,Mike,18182
2024-04-24,Product C,Furniture,East,Tom,18196
2024-04-25,Product E,Furniture,North,Alice,14709
2024-04-26,Product C,Electronics,East,Sara,24495
2024-04-27,Product D,Books,East,Nina,16484
2024-04-28,Product E,Furniture,North,Tom,23730
2024-04-29,Product A,Electronics,East,Mike,17558
2024-04-30,Product C,Electronics,North,Tom,6145
2024-05-01,Product B,Books,West,Alice,16218
2024-05-02,Product D,Appliances,North,John,8024
2024-05-03,Product D,Books,East,Mike,7128
2024-05-04,Product A,Electronics,North,Alice,20411
2024-05-05,Product D,Furniture,South,Emily,7097
2024-05-06,Product C,Books,North,Raj,21219
2024-05-07,Product A,Electronics,North,John,15102
2024-05-08,Product C,Electronics,East,Tom,22814
2024-05-09,Product E,Appliances,East,John,7203
2024-05-10,Product D,Appliances,West,John,7384
2024-05-11,Product E,Books,West,Mike,22600
2024-05-12,Product E,Clothing,South,Raj,6443
2024-05-13,Product D,Appliances,East,Raj,23727
2024-05-14,Product A,Furniture,East,Nina,11470
2024-05-15,Product C,Electronics,South,Sara,18160
2024-05-16,Product C,Clothing,North,Raj,24963
2024-05-17,Product A,Books,East,Raj,11197
2024-05-18,Product A,Furniture,South,Alice,19901
2024-05-19,Product E,Electronics,North,Sara,24350
2024-05-20,Product E,Furniture,East,Nina,7986
2024-05-21,Product E,Furniture,West,Nina,8725
2024-05-22,Product A,Clothing,East,John,23508
2024-05-23,Product E,Appliances,East,Raj,16003
2024-05-24,Product B,Appliances,South,Nina,14227
2024-05-25,Product C,Appliances,North,Alice,12903
2024-05-26,Product B,Electronics,South,Alice,19167
2024-05-27,Product A,Books,South,Alice,17674
2024-05-28,Product C,Books,North,Emily,20551
2024-05-29,Product D,Appliances,North,Sara,19956
2024-05-30,Product D,Furniture,North,Mike,20771
2024-05-31,Product C,Appliances,North,Emily,19281
2024-06-01,Product B,Electronics,East,John,9537
2024-06-02,Product B,Clothing,West,Nina,5070
2024-06-03,Product E,Books,East,Mike,19372
2024-06-04,Product B,Electronics,West,Alice,8896
2024-06-05,Product A,Electronics,West,Emily,19461
2024-06-06,Product A,Clothing,North,Emily,7061
2024-06-07,Product B,Furniture,North,Mike,12103
2024-06-08,Product C,Electronics,West,Sara,18752
2024-06-09,Product C,Books,East,Tom,8954
2024-06-10,Product D,Furniture,West,Nina,18399
2024-06-11,Product D,Electronics,East,Sara,11603
2024-06-12,Product D,Books,North,Raj,10438
2024-06-13,Product B,Clothing,South,Alice,8369
2024-06-14,Product A,Appliances,South,Alice,20121
2024-06-15,Product D,Appliances,South,Nina,24125
2024-06-16,Product D,Books,North,Sara,6360
2024-06-17,Product B,Books,South,Emily,22678
2024-06-18,Product D,Clothing,West,Emily,17147
2024-06-19,Product D,Clothing,West,Raj,12856
2024-06-20,Product B,Electronics,North,Tom,13565
2024-06-21,Product E,Clothing,West,Nina,14616
2024-06-22,Product A,Books,South,Mike,23660
2024-06-23,Product D,Appliances,East,Emily,11411
2024-06-24,Product E,Appliances,South,Raj,18478
2024-06-25,Product C,Appliances,North,Alice,19760
2024-06-26,Product D,Clothing,South,Sara,21038
2024-06-27,Product D,Electronics,North,Alice,17623
2024-06-28,Product D,Furniture,South,Emily,8008
2024-06-29,Product E,Clothing,West,Raj,10714
2024-06-30,Product B,Appliances,East,John,16258
2024-07-01,Product B,Clothing,North,John,12658
2024-07-02,Product C,Appliances,North,Tom,18757
2024-07-03,Product E,Clothing,East,Nina,21722
2024-07-04,Product B,Electronics,South,Mike,12226
2024-07-05,Product D,Appliances,West,Raj,15983
2024-07-06,Product C,Electronics,West,Mike,10892
2024-07-07,Product A,Furniture,North,Emily,10908
2024-07-08,Product B,Appliances,West,Raj,7575
2024-07-09,Product C,Appliances,West,John,13459
2024-07-10,Product D,Furniture,West,Alice,11776
2024-07-11,Product B,Books,South,Emily,7935
2024-07-12,Product D,Books,West,John,18795
2024-07-13,Product E,Furniture,North,Raj,13920
2024-07-14,Product C,Furniture,East,Tom,14456
2024-07-15,Product A,Appliances,North,Tom,11579
2024-07-16,Product A,Clothing,South,Sara,19793
2024-07-17,Product E,Clothing,South,Nina,14249
2024-07-18,Product B,Appliances,East,Nina,23798
2024-07-19,Product E,Electronics,East,Raj,16138
2024-07-20,Product D,Books,West,Emily,14711
2024-07-21,Product B,Clothing,North,Sara,17517
2024-07-22,Product B,Electronics,East,Tom,12425
2024-07-23,Product C,Clothing,West,Raj,5590
2024-07-24,Product C,Electronics,South,Alice,21098
2024-07-25,Product E,Appliances,South,Raj,8310
2024-07-26,Product A,Appliances,North,John,7075
